,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
773440,1.28,0.8863728099526584,0.6280441779187196,5.1374895898660434e-36,5.028441612446024e-37,4.736365726008814e-38,0.4916898698540652,0.028341477459888353,1.1087457832104336e-61,3.1254746451778834e-56,6.389935598753055e-55,HV,-1
774166,1.36,0.6280441779187196,0.6982502252503169,1.6188636261592282e-35,3.841945597167904e-32,3.841945597167904e-32,0.028341477459888353,0.42876959833128964,2.6967458683474243e-46,1.027010718195644e-45,1.027010718195644e-45,HV,-1
774167,1.88,0.6982502252503169,0.5585594327069068,1.087429621777175e-40,1.6149739485228108e-36,1.087429621777175e-40,0.42876959833128964,0.01715995048736122,2.8393015726534797e-54,1.4527324837068053e-33,2.8393015726534797e-54,HV,-1
774949,2.6,0.5585594327069068,6.9503227862631795e-06,1.3014479285069932e-32,4.786653114517815e-34,5.8229685535173e-29,0.01715995048736122,1.1112747154054147e-13,3.0945381872832893e-58,5.415950550882715e-53,5.1374895898660434e-36,HV,-1
774929,2.04,6.9503227862631795e-06,0.9998945640423377,5.672737421572143e-14,1.8271704188765886e-11,1.5617752839811438e-20,1.1112747154054147e-13,0.9952074388694081,9.917529278929078e-12,6.743148868801961e-21,7.51492545397327e-30,HV,-1
766660,1.96,0.9998945640423377,0.00046676589861970356,2.8875365205513346e-21,1.0918261406495755e-10,6.096062772783974e-10,0.9952074388694081,7.090400202592512e-08,1.1751744523287492e-27,1.8479696316088673e-09,4.1407391555186358e-19,HV,-1
774476,1.56,0.00046676589861970356,5.8229685535173e-29,2.157374287889546e-22,5.053167175939877e-35,1.475949845555557e-25,7.090400202592512e-08,1.3014479285069932e-32,7.006828784570818e-47,4.2529401493385786e-63,2.1012127091701578e-29,HV,-1
766643,10.92,5.8229685535173e-29,2.157374287889546e-22,6.743148868801961e-21,2.1012127091701578e-29,2.1917351515813012e-26,1.3014479285069932e-32,1.4951013308512084e-23,5.165007853947324e-22,1.59942577801157e-28,2.157374287889546e-22,HV,-1
766619,3.12,2.157374287889546e-22,2.9449112249352205e-06,2.0306071725849707e-18,1.1590699874557621e-07,4.54061202082523e-06,1.4951013308512084e-23,2.873397022937326e-14,8.936182712091501e-23,6.096062772783974e-10,4.3055912093737255e-08,HV,-1
766844,11.32,2.9449112249352205e-06,,5.2402031702164816e-05,,1.0562062574758019e-05,2.873397022937326e-14,,4.354565666586339e-28,,0.013212113036973965,HV,-1
773459,1.48,,0.9999999786717801,,1.5617752839811438e-20,1.6149739485228108e-36,,0.31778103283453074,,3.841945597167904e-32,9.872297653033551e-52,HV,-1
774620,1.44,0.9999999786717801,0.9999999786717801,1.6149739485228108e-36,1.273001434273289e-39,6.743148868801961e-21,0.31778103283453074,0.6982502252503169,1.24716984967022e-53,2.8393015726534797e-54,5.1374895898660434e-36,HV,-1
773542,1.32,0.9999999786717801,0.9999961756804284,2.8875365205513346e-21,7.006828784570818e-47,3.7390849302645935e-40,0.6982502252503169,0.10785099672172843,1.3014479285069932e-32,5.474894405583736e-69,1.7207433867727158e-50,HV,-1
773423,1.4,0.9999961756804284,0.9644366597493446,3.131214759135169e-41,4.736365726008814e-38,1.1528582747036722e-48,0.10785099672172843,0.42876959833128964,6.48750144084547e-59,1.7207433867727158e-50,2.1745063091407918e-79,HV,-1
773478,1.24,0.9644366597493446,0.9952074388694081,1.7207433867727158e-50,,3.7390849302645935e-40,0.42876959833128964,0.19127733096650482,3.589940980859106e-88,,6.389935598753055e-55,HV,-1
775337,1.08,0.9952074388694081,4.3682858711461576e-33,4.736365726008814e-38,1.6188636261592282e-35,,0.19127733096650482,3.841945597167904e-32,7.006828784570818e-47,6.389935598753055e-55,,HV,-1
774634,12.64,4.3682858711461576e-33,4.786653114517815e-34,,0.00046676589861970356,0.31778103283453074,3.841945597167904e-32,3.2576011413383126e-31,,1.1751744523287492e-27,8.522774511431384e-16,HV,-1
773523,1.24,4.786653114517815e-34,0.9998945640423377,5.1374895898660434e-36,,7.065707358075577e-50,3.2576011413383126e-31,0.9952074388694081,5.415950550882715e-53,,1.6116173607689716e-70,HV,-1
775345,1.28,0.9998945640423377,0.7667067650024223,4.581617798606835e-48,,,0.9952074388694081,0.984904522198453,1.6116173607689716e-70,,,HV,-1
775347,1.24,0.7667067650024223,0.9999961756804284,,7.51492545397327e-30,,0.984904522198453,0.057064223622223874,,1.3014479285069932e-32,,HV,-1
775333,1.24,0.9999961756804284,0.9952074388694081,,4.736365726008814e-38,9.357404620757031e-31,0.057064223622223874,0.07105129403332416,,9.782769088604502e-67,3.7390849302645935e-40,HV,-1
773538,1.0,0.9952074388694081,0.9316146421154725,8.336982992857103e-27,5.028441612446024e-37,1.4527324837068053e-33,0.07105129403332416,0.13147918885221888,5.8229685535173e-29,7.065707358075577e-50,5.415950550882715e-53,HV,-1
773438,1.24,0.9316146421154725,0.9999961756804284,1.5507212228858488e-37,1.6188636261592282e-35,4.2915578655425274e-39,0.13147918885221888,0.045509644873646095,2.9025390393525483e-65,5.415950550882715e-53,1.3436456959073252e-59,HV,-1
774126,1.28,0.9999961756804284,0.9990098806936499,3.7390849302645935e-40,,1.6188636261592282e-35,0.045509644873646095,0.15915169261452353,2.8393015726534797e-54,,1.027010718195644e-45,HV,-1
775355,1.36,0.9990098806936499,0.15915169261452353,1.6188636261592282e-35,1.5625396373828271e-34,,0.15915169261452353,0.0017386399220547539,1.7207433867727158e-50,1.6149739485228108e-36,,HV,-1
774948,1.16,0.15915169261452353,5.028441612446024e-37,,4.354565666586339e-28,1.6188636261592282e-35,0.0017386399220547539,7.038201470061761e-43,,2.6967458683474243e-46,3.131214759135169e-41,HV,-1
776658,12.96,5.028441612446024e-37,3.029792736440307e-07,0.8304634168517532,0.01715995048736122,0.00046676589861970356,7.038201470061761e-43,4.844938835298689e-07,0.19127733096650482,1.0918261406495755e-10,0.19127733096650482,HV,-1
774928,3.36,3.029792736440307e-07,0.9999961756804284,3.181645828005833e-09,,4.1668484744741516e-13,4.844938835298689e-07,0.984904522198453,4.1668484744741516e-13,,1.9749961157727357e-16,HV,-1
766789,3.36,0.9999961756804284,0.02213087446680441,2.8558264098090667e-12,1.4441813162158956e-14,,0.984904522198453,0.045509644873646095,1.8472470418103187e-19,2.0759331623867817e-17,,HV,-1
774492,3.08,0.02213087446680441,0.5585594327069068,,1.8472470418103187e-19,1.7496489473203055e-15,0.045509644873646095,0.7667067650024223,,3.670608057778416e-23,6.0386087815401604e-24,HV,-1
766641,3.12,0.5585594327069068,9.917529278929078e-12,1.4441813162158956e-14,2.9449112249352205e-06,9.206783150259314e-19,0.7667067650024223,1.5150272731082582e-12,1.2263118062588385e-21,7.090400202592512e-08,3.670608057778416e-23,HV,-1
766621,1.56,9.917529278929078e-12,5.672737421572143e-14,4.2915578655425274e-39,1.5507212228858488e-37,6.062430861827832e-11,1.5150272731082582e-12,1.1112747154054147e-13,8.171971774555533e-64,2.6967458683474243e-46,1.1112747154054147e-13,HV,-1
